name,area_enfoque
ABIOPEP,Sanidad vegetal
ADAMA AGRICULTURE ESPAÑA S.A.,Sanidad vegetal
AFEPASA,Nutrición vegetal / Sanidad vegetal
AGRENVEC S.L.,Plantas biofactoría/cultivos industriales
AGRICOLA 2000,Asesoramiento agrobiotech/CROs / Servicios I+D
AGRÍCOLA EL BOSQUE (LA CANASTITA),Producción y comercialización
AGRITECNO,Nutrición vegetal
AGROGENIA BIOTECH,Nutrición vegetal
AGROINTEC SOLUTIONS,Asesoramiento agrobiotech/CROs / Nutrición vegetal
AGROMARTÍN,Producción y comercialización
AGROMÉTODOS S.A.,Nutrición vegetal / Sanidad vegetal
LUCAS BIOTECH,Nutrición vegetal / Sanidad vegetal
ALGAENERGY,Microalgas / Nutrición vegetal
ALGALOOP,Microalgas / Nutrición vegetal
ANECOOP,Producción y comercialización
ARCANO CORPORATE SLU,Asesoramiento agrobiotech/CRO / Fondos de inversión
ARIS INDUSTRIAL S.A.,Nutrición vegetal / Sanidad vegetal
ARTAL SMART AGRICULTURE,Nutrición vegetal / Sanidad vegetal
ARVENSIS AGRO,Nutrición vegetal
ATENS,Nutrición vegetal
AURA SOLUCIONES TECNOLÓGICAS SLU,Agrotech/TICs
AVASA,Viveros
LIGIER,Asesoramiento agrobiotech/CROs / Servicios I+D
BAIC AGRO EUROPE,Nutrición vegetal / Sanidad vegetal
BAYER CROP SCIENCE,Nutrición vegetal / Sanidad vegetal
BIOENTO FARM,Economía circular / Nutrición vegetal
BIOERA,Nutrición vegetal
BIOFUNGITEK,Nutrición vegetal
BIOIBÉRICA,Nutrición vegetal / Sanidad vegetal
BIOMASA PENINSULAR,Bioenergía / Economía circular
BIOME MAKERS SPAIN S.L.,Agrotech/TICs
BIONUTRICIÓN VEGETAL S.A.,Nutrición vegetal
BIOPROCESIA CIRCULAR SOLUTIONS S.L.,Economía circular
BIOREGULATORY SERVICES,Asesoramiento agrobiotech/CROs
BIORGANIX,Servicios I+D
BIORIZON BIOTECH,Microalgas / Nutrición vegetal
BIOTECH TRICOPHARMING RESEARCH S.L.,Plantas biofactoría/cultivos industriales
BIOTECNOLOGÍA FORESTAL APLICADA S.L. (ID FOREST),
BIOZAHARA,Obtención vegetal
CAF-ING,Asesoramiento agrobiotech/CROs
CBRE Real Estate,Asesoramiento agrobiotech/CROs
CELLBITEC,Asesoramiento agrobiotec/CROs
CITRUSGEN S.L.,Producción y comercialización
CLEAN BIOTEC S.L.,Servicios I+D
Colorquímica S.A.S.,Asesoramiento agrobiotech/CROs
CONSENTIO PLATFORM,Agrotech/TICs
COPSEMAR,Obtención vegetal / Producción y comercialización
COPYR S.p.A.,Sanidad Vegetal
CORMA SCCL,Viveros
CROPRISING,Agrotech/TICs
CULTIFORT S.L.,Nutrición vegetal / Obtención vegetal
CULTIPLY S.L.,Servicios I+D
DESARROLLO AGRÍCOLA Y MINERO (DAYMSA),Nutrición vegetal / Sanidad vegetal
DINOX S. L.,Packaging
DNA ADVISORY SERVICES,Asesoramiento agrobiotech/CROs
DVA IBERIA,Sanidad vegetal
EIBOL IBÉRICA,Nutrición vegetal
ENCE,Economía circular / Forestal
EUCELAB S.L.,Economía circular
EUROSEMILLAS,Obtención vegetal / Producción y comercialización
Fauna Útil S.L.,Sanidad vegetal
FERTINAGRO BIOTECH,Nutrición vegetal / Sanidad vegetal
FERTIX NUTRICIÓN VEGETAL S.L.,Nutrición vegetal
FLUTURE,Agrotech/TICs
FIKI EUROPA S.L.,Producción y comercialización
FRUTARIA (GRUPO LUENGO),Producción y comercialización
GCM CITRUS S.L.,Obtención vegetal
GENOMA LABORATORIO,Servicios I+D
GENERANDI,Forestal
GMW BIOSCIENCE S.L.,Asesoramiento agrobiotech/CROs / Servicios I+D
GREEN UNIVERSE AGRICULTURE,Nutrición vegetal
GRUPO QUIVER IBÉRICA S.L.,Nutrición vegetal
HEFE FERTILIZANTES,Nutrición vegetal
HELLO PLANT FOODS S.L.,Fuentes alternativas de proteína
HEROGRA ESPECIALES S.L.,Nutrición vegetal
HUDSON RIVER TECHNOLOGY (HRB),Servicios I+D
I-GRAPE LABORATORY,Economía circular
IDEAGRO S.L.,Servicios I+D
IMBRODA VITROPLANT SL,Servicios I+D
INAGROUP,Nutrición vegetal
INJERTOS VEGETALES S.L.,Viveros
INNOPLANT,Servicios I+D
INVENTIUM Consultoría de Proyectos S.L.,Fondos de inversión
INVISA,Servicios I+D
IPL BIOLOGICALS LIMITED,Nutrición vegetal / Sanidad Vegetal
ISAGRO ESPAÑA,Nutrición vegetal / Sanidad vegetal
ISIFARMER S.L.,Agricultura vertical
IZASA SCIENTIFIC S.L.U.,Servicios I+D
KAAM INNOVACIÓN Y TECNOLOGÍA SL,Agrotech/TICs
Kaeltia Consulting,Asesoramiento agrobiotech/CROs
LABORATORIO AGRAMA SL,Servicios de I+D
LAINCO S.A.,Nutrición vegetal / Sanidad vegetal
LANGENOMICS BIODETECT S.L.,Servicios I+D
MADEINPLANT S.L.,Plantas biofactoría/cultivos industriales
MANTER PACKAGING IBÉRICA S.L.,Packaging
MERISTEC,Servicios I+D
MICROGAIA BIOTECH,Nutrición vegetal / Servicios I+D
Microlab Biotech S.L.,Servicios I+D
MICROOMICS SYSTEMS S.L.,Servicios I+D
MIRAT FERTILIZANTES,Nutrición vegetal
MIRNAX BIOSENS S.L.,Servicios de I+D
MONTSIÀ,Producción y comercialización
MYFLORADNA,Servicios de I+D
NAPLATEC S.L.,Obtención vegetal / Plantas biofactoría/cultivos industriales
NATURBEC S.L.,Nutrición vegetal
NOVASYS PHARMA,Nutrición vegetal
NUEVOS CULTIVOS AGRARIOS,Producción y comercialización
"OFITEC INGENIERÍA Y PROYECTOS, S.L",Asesoramiento agrobiotech/CROs
PHENOSPEX,Agrotech/TICs / Servicios I+D
PHYTOPLANT RESEARCH,Servicios I+D
PLANASA,Obtención vegetal
PLANET BIOTECH S.L.,Plantas biofactoría/cultivos industriales
PONS IP S.A.,Asesoramiento agrobiotech/CROs
PROBELTE,Nutrición vegetal / Sanidad vegetal
PRODUCTOS LABIN SL,Nutrición vegetal
PROMEGA BIOTECH IBÉRICA,Servicios I+D
PROPLANTAE,Servicios I+D
Q-IMPACT INVESTMENT MANAGEMENT SGEIC S.A.,Fondos de inversión
RAMBIOGANAR,Nutrición vegetal
REWILD BIOTECH,Sanidad vegetal
SAKATA SEED IBÉRICA,Obtención vegetal
SANPA SEMILLAS S.A.,Obtención vegetal
SECUGEN S.L.,Servicios I+D
SEIPASA,Nutrición vegetal / Sanidad vegetal
SEQUENCING MULTIPLEZ S.L. (SEQPLEXING),Servicios I+D
SEQUENTIA BIOTECH,Servicios I+D
SICOP,Asesoramiento agrobiotech/CROs
SINENTA CORP.,Asesoramiento agrobiotech/CROs
SMART MOSS EUROPE S.L,Agrotech/TICs
SOCIEDAD AGRÍCOLA GALLEGA – SOAGA,Nutrición vegetal / Obtención vegetal / Sanidad vegetal
SPRAY DRIER SERVICE S.L.,Servicios I+D
STAPHYT,Asesoramiento agrobiotech/CROs
SUN CHEMICALS SERVICES SL,Asesoramiento agrobiotech/CROs
"Sustainable Agro Solutions, S.A.U (SAS)",Nutrición vegetal
SYNERLINK,Packaging
SYNGENTA ESPAÑA S.A.,Nutrición vegetal / Obtención vegetal / Sanidad vegetal
SYNTECH RESEARCH SPAIN,Asesoramiento agrobiotech/CROs
TANY NATURE,Producción y comercialización
TEBRIO,Fuentes alternativas de proteína
TECNICROP IBÉRICA S.L.,Nutrición vegetal
TEPRO Consultores Agrícolas S.L.,Asesoramiento agrobiotech/CROs
Terra Nova Capital Agro S.L.,
TIMAC AGRO,Nutrición vegetal
TRADECORP,Nutrición vegetal
TRICHODEX,Nutrición vegetal
UNIGEN SEEDS SPAIN S.L.U.,Obtención vegetal
VALGENETICS,Servicios I+D
VECTOR HORIZONTE S.L.,Asesoramiento agrobiotech/CROs
VELLSAM MATERIAS BIOACTIVAS S.L.,Nutrición vegetal
VIAGRO,Nutrición vegetal / Sanidad vegetal
VIREX TECHNOLOGIES S.L.,Servicios I+D
VisualNAcert S.L.,Agrotech/TICs
XTREM BIOTECH,Nutrición vegetal / Sanidad vegetal
AIMPLAS,Asociación de Investigación de Materiales Plásticos y Conexas
AINIA,Centro Tecnológico AINIA
CEP,Consejo Europeo del Pistacho
EURECAT,Centro Tecnológico EURECAT
CARTIF,Centro Tecnológico CARTIF
FUNDACIÓN MEDINA,Fundación MEDINA
FUNDITEC,Fundación para el Desarrollo y la Innovación Tecnológica
GRUPO COOPERATIVO CAJAMAR,
INNOVPLANT PROTECT,
LEITAT,Instituto Tecnológico
SPEGC,Sociedad de Promoción Económica de Gran Canaria S.A.
CBGP,Centro de Biotecnología y Genómica de Plantas
CIALE,Instituto de Investigación en Agrobiotecnología
CIDSAV-UDG,Centro de Innovación y Desarrollo en Sanidad Vegetal
CITA,Centro de Investigación y Tecnología Agroalimentaria de Aragón
CRAG,Centro de Investigación en Agrigenómica
CSIC,Consejo Superior de Investigaciones Científicas
CTAEX,Centro Tecnológico Agroalimentario Extremadura
IA2,Instituto Agroalimentario de Aragón
IFAPA,Instituto de Investigación y Formación Agraria y Pesquera de Andalucía
IMIDA,Instituto Murciano de Investigación y Desarrollo Agrario y Alimentario
INAGEA,Instituto de Investigaciones Agroambientales y de Economía del Agua
INIA,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria
IRIAF,Instituto Regional de Investigación y Desarrollo Agroalimentario y Forestal de Castilla-La Mancha
IRTA,Instituto de Investigación y Tecnología Agroalimentaria
IVIA,Instituto Valenciano de Investigaciones Agrarias
NEIKER,Instituto Vasco de Investigación y Desarrollo Agrario
SERIDA,Servicio Regional de Investigación y Desarrollo Agroalimentario del Principado de Asturias
UA,Universidad de Alicante
UAL,Universidad de Almería
UCM,Máster Universitario en Biología Vegetal Aplicada por la Universidad Complutense de Madrid
ETSIAMB-UCLM,"Escuela Técnica Superior de Ingenieros Agrónomos y Montes de
Albacete – Universidad de Castilla-La Mancha"
AgrotecUV,Universidad de Valencia
